id,algo_code,algo_name_x,engine_type,algo_source,algo_pkg_type,algo_pkg_path,description,create_user,update_user,create_time,update_time
1,DecisionTree,,2,0,1,grimoire-assembly-0.1.0.jar,,,,,
2,GBTC,,2,0,1,grimoire-assembly-0.1.0.jar,,,,,
3,LogisticRegression,,2,0,1,grimoire-assembly-0.1.0.jar,,,,,
4,NaiveBayes,,2,0,1,grimoire-assembly-0.1.0.jar,,,,,
5,RandomForest,,2,0,1,grimoire-assembly-0.1.0.jar,,,,,
6,BisectingKMeans,,2,0,1,grimoire-assembly-0.1.0.jar,,,,,
7,BinaryClassificationMetrics,,2,0,1,grimoire-assembly-0.1.0.jar,,,,,
8,RegressionMetrics,,2,0,1,grimoire-assembly-0.1.0.jar,,,,,
9,Binarizer,,2,0,1,grimoire-assembly-0.1.0.jar,,,,,
10,Bucketizer,,2,0,1,grimoire-assembly-0.1.0.jar,,,,,
11,ChiSqSelector,,2,0,1,grimoire-assembly-0.1.0.jar,,,,,
12,CountVectorizer,,2,0,1,grimoire-assembly-0.1.0.jar,,,,,
13,DCT,,2,0,1,grimoire-assembly-0.1.0.jar,,,,,
14,IndexToString,,2,0,1,grimoire-assembly-0.1.0.jar,,,,,
15,MinMaxScaler,,2,0,1,grimoire-assembly-0.1.0.jar,,,,,
16,NGram,,2,0,1,grimoire-assembly-0.1.0.jar,,,,,
17,Normalizer,,2,0,1,grimoire-assembly-0.1.0.jar,,,,,
18,OneHotEncoder,,2,0,1,grimoire-assembly-0.1.0.jar,,,,,
19,PCA,,2,0,1,grimoire-assembly-0.1.0.jar,,,,,
20,RandomSplit,,2,0,1,grimoire-assembly-0.1.0.jar,,,,,
21,RegexTokenizer,,2,0,1,grimoire-assembly-0.1.0.jar,,,,,
22,StandardScaler,,2,0,1,grimoire-assembly-0.1.0.jar,,,,,
23,StringIndexer,,2,0,1,grimoire-assembly-0.1.0.jar,,,,,
24,TFVectorize,,2,0,1,grimoire-assembly-0.1.0.jar,,,,,
25,VectorAssembler,,2,0,1,grimoire-assembly-0.1.0.jar,,,,,
26,VectorIndexer,,2,0,1,grimoire-assembly-0.1.0.jar,,,,,
27,TFIDFVectorize,,2,0,1,grimoire-assembly-0.1.0.jar,,,,,
28,ALS,,2,0,1,grimoire-assembly-0.1.0.jar,,,,,
29,DecisionTreeRegression,,2,0,1,grimoire-assembly-0.1.0.jar,,,,,
30,LinearRegression,,2,0,1,grimoire-assembly-0.1.0.jar,,,,,
31,RandomForestRegression,,2,0,1,grimoire-assembly-0.1.0.jar,,,,,
32,Correlations,,2,0,1,grimoire-assembly-0.1.0.jar,,,,,
33,StatisticalSummary,,2,0,1,grimoire-assembly-0.1.0.jar,,,,,
34,IDFTrain,,2,0,1,grimoire-assembly-0.1.1.jar,,,,,
